phrase,prompt
Heart my is fast pumping I ' and m having a time hard to breath.,Hard to breath
My heart is pumping fast and I ' a m having hard breath to time.,Hard to breath
My acne and itches. oozes,Acne
Acne my itches oozes and.,Acne
Acne itches my and oozes.,Acne
Acne my itches oozes and.,Acne
I had a cut that stitched was but it together is not healing. It is oozing puss and green burns.,Infected wound
Had a I that cut was together but stitched is it not healing. It is oozing puss green and burns.,Infected wound
I had a cut that stitched together was but it is not healing. oozing It puss is green burns and.,Infected wound
Had I cut a that was stitched together but it is not healing. It is green oozing and puss. burns,Infected wound
I when was I young had injury an from my sports in knee.,Injury from sports
I when was young I an injury had from in sports knee my.,Injury from sports
I was when young I had an from injury in sports knee my.,Injury from sports
When was I young I an had injury from in sports my knee.,Injury from sports
Biceps my started aching after went I to gym the,Muscle pain
My biceps started aching after went to I gym the,Muscle pain
Biceps my aching started after I to went the gym,Muscle pain
Biceps my started aching after I went gym to the,Muscle pain
I cold although feel we are summer in.,Feeling cold
Feel I cold we although are summer in.,Feeling cold
Feel I cold although we are in summer.,Feeling cold
I feel cold although are we in summer.,Feeling cold
"Have a I blurry vision since woke I up morning this, could what be reason the?",Blurry vision
"Have I a vision blurry since I this woke morning up what, could be the reason?",Blurry vision
"Have a blurry I vision I since woke up morning this, could what be the reason?",Blurry vision
"I have a blurry since vision woke I up this morning what could, reason be the?",Blurry vision
I cut hand my a of couple ago and days although I didn t ' think needed I it stitches hasn it ' t closed up.,Open wound
Cut I my hand a couple of days and ago I although didn ' think t needed I stitches it hasn it ' closed t. up,Open wound
Cut I my hand a of couple days ago although and I ' didn think t I needed stitches it it hasn ' t closed. up,Open wound
Cut I my hand of a couple days and although ago I didn ' think t needed it stitches I it hasn ' t closed up.,Open wound
i have severe dry cough,Cough
have I dry severe cough,Cough
i severe have cough dry,Cough
i have severe dry cough,Cough
"I have hardly enough to stength up get,",Body feels weak
"Hardly I have enough get stength to up,",Body feels weak
"Hardly I have enough stength to get up,",Body feels weak
"I have hardly enough stength up to get,",Body feels weak
Sterilizer eye for the,Blurry vision
The sterilizer for eye,Blurry vision
Sterilizer for the eye,Blurry vision
Sterilizer the eye for,Blurry vision
My shoulder when I aches to try five lift pounds.,Shoulder pain
My when shoulder aches I try to lift five pounds.,Shoulder pain
My shoulder aches I when try to five lift pounds.,Shoulder pain
Shoulder my aches I when to lift try five pounds.,Shoulder pain
I have shooting in pain my kneecap working after out.,Knee pain
I shooting have pain in my working kneecap after. out,Knee pain
Have I shooting pain in kneecap my out after working.,Knee pain
I have shooting pain in my kneecap out after working.,Knee pain
Have I shoulder pain try when I carry to my groceries.,Shoulder pain
I have pain when shoulder try I to carry groceries my.,Shoulder pain
I have shoulder when pain I try to carry groceries my.,Shoulder pain
Shoulder I have when pain I try to my carry groceries.,Shoulder pain
I feel weak all over.,Body feels weak
Feel I all weak over.,Body feels weak
I feel weak all over.,Body feels weak
Weak I feel all over.,Body feels weak
The crushing sensation my on leaves heart me. breathless,Heart hurts
The on crushing sensation my leaves heart me breathless.,Heart hurts
Crushing the sensation on my leaves me heart breathless.,Heart hurts
The sensation crushing on heart my leaves breathless me.,Heart hurts
My head hurts I when ' m this. doing,Head ache
Head my I hurts when ' m doing this.,Head ache
My hurts head when I m ' this doing.,Head ache
My head hurts when I ' this doing m.,Head ache
When I over bend get I a pain shooting down back my,Back pain
When bend I I over a get shooting pain down back my,Back pain
When bend over I get I a pain shooting down my back,Back pain
When I over bend I a get shooting pain down my back,Back pain
Can I ' t because of breath Cough,Cough
' I can t breath of because Cough,Cough
can I ' t breath of Cough because,Cough
can I ' t breath Cough because of,Cough
There pain is in joints my I can. not bear pain,Joint pain
There is pain in joints my. I can not pain bear,Joint pain
There pain in is my joints. I bear can not pain,Joint pain
There pain is my in. joints I can not pain bear,Joint pain
Broke my I ankle doing while rock climbing in Carpathians the.,Injury from sports
I my broke while ankle rock doing in climbing the Carpathians.,Injury from sports
Broke I my while ankle doing rock climbing the Carpathians in.,Injury from sports
I my ankle broke while doing climbing rock in Carpathians the.,Injury from sports
' I ve feeling been very lately sad,Emotional pain
I ' ve feeling very sad been lately,Emotional pain
I ' ve been feeling sad very lately,Emotional pain
I ' ve been feeling very lately sad,Emotional pain
Can I ' get t girlfriend a because of acne my.,Acne
Can I ' a t get girlfriend because my of acne.,Acne
Can I ' t get girlfriend a because of. my acne,Acne
I can ' get t girlfriend a because of. my acne,Acne
I when play I have football muscle pain.,Muscle pain
When I I play football have muscle. pain,Muscle pain
When I play have football I muscle. pain,Muscle pain
I when play have football I muscle pain.,Muscle pain
I I think it overdid carried when all I that lumber from the yard. My lower back killing is me.,Back pain
I I think it overdid when carried I that all from lumber the yard. lower My is back killing me.,Back pain
Think I overdid I it when I all carried that lumber from the yard. My is lower back killing me.,Back pain
I I think overdid it when carried I all lumber that the yard from. My lower back killing me is.,Back pain
A I have hair shortage,Hair falling out
Have I hair a shortage,Hair falling out
I have hair shortage a,Hair falling out
Have I a shortage hair,Hair falling out
i having am problems seeing feel things like a cloud on eyes everything is my blurry,Blurry vision
Am I having seeing problems things like feel a on cloud eyes my everything is blurry,Blurry vision
am I having problems seeing feel things a like cloud on my everything eyes blurry is,Blurry vision
am I having seeing problems things feel like cloud a on my everything eyes blurry is,Blurry vision
I have a in break the inside skin one of my nostrils that infected has become is and filled now pus with.,Infected wound
I a have break in skin the inside one my of nostrils that infected become has and now is filled with pus.,Infected wound
Have I a break in the skin one of inside my nostrils has that become infected and now is filled pus. with,Infected wound
I have a the break in inside one of skin my that nostrils has become infected is and now filled with pus.,Infected wound
Get terrible I headaches every few months I and get when them my vision is. affected,Head ache
I terrible headaches get every months few and I when them get vision my is affected.,Head ache
I get terrible headaches every months and few when I get them my vision is affected.,Head ache
I terrible get every headaches few months when and I get them my vision affected is.,Head ache
Have a I dry skin,Skin issue
I have dry skin a,Skin issue
Have a I dry skin,Skin issue
Have I a skin dry,Skin issue
my heart hurts me,Heart hurts
my me heart hurts,Heart hurts
heart my me hurts,Heart hurts
heart my me hurts,Heart hurts
I hve my cut because finger football of playing and I to apply relief pain but cream it does help not,Injury from sports
I cut hve finger my because of playing and football I apply to pain relief but cream does it help not,Injury from sports
I hve cut my finger because playing of football and I to apply pain cream relief but it does help not,Injury from sports
I hve cut my because finger of football playing and to I apply pain cream relief but does it not help,Injury from sports
I running am having nose,Feeling cold
I am running nose having,Feeling cold
I am having running nose,Feeling cold
Am I having nose running,Feeling cold
I injured exercising got,Injury from sports
Got injured I exercising,Injury from sports
Got injured I exercising,Injury from sports
I got injured exercising,Injury from sports
Travelled I plane by a few days ago this and time during landing ears remained my clogged painful and.,Ear ache
Travelled I by a plane days few ago and this time landing during my ears remained and clogged. painful,Ear ache
I travelled by plane few a days ago and this during landing time my ears remained clogged painful and.,Ear ache
I travelled by plane a few days ago this and time landing during my ears remained and painful clogged.,Ear ache
I ' ve this had cough for two weeks.,Cough
' I had ve cough this for two weeks.,Cough
I ' had ve cough this for weeks two.,Cough
I ' had ve this cough two weeks for.,Cough
I feel a in soreness my knees when I walk,Joint pain
I feel a soreness knees in my when walk I,Joint pain
I soreness feel a in my when knees I walk,Joint pain
I a soreness feel in my when knees I walk,Joint pain
My was wound infected i when was planting flowers some my in garden,Infected wound
My wound was infected when i was some planting in garden flowers my,Infected wound
My wound was i infected when was some flowers planting in my garden,Infected wound
My was wound infected when planting i was some flowers in garden my,Infected wound
I can t move ' up my head and down.,Neck pain
I can ' t move my up and head down.,Neck pain
I ' can t move my and head down up.,Neck pain
I ' can t my move head up and down.,Neck pain
"Had I stepped a on needle it wouldn ' have t much hurt so, like this damned spur in my. heel",Foot ache
"I had stepped on needle a it ' wouldn t hurt have so much, like spur this damned my in heel.",Foot ache
"Had stepped on I a needle wouldn it ' have t hurt so much like, this spur damned my in heel.",Foot ache
"I had stepped on a needle wouldn it ' t have so hurt much, like damned this spur in heel my.",Foot ache
I feel in pain while my I neck ' m working.,Neck pain
Feel I pain in neck while my I ' working m.,Neck pain
I feel pain in my I neck while '. m working,Neck pain
Feel I in pain my neck I while ' working m.,Neck pain
I have a headache I every time eat cream ice,Head ache
A I have every headache time I eat ice cream,Head ache
Have I a headache every time I eat ice cream,Head ache
I have a headache I every time ice eat cream,Head ache
Sharp and pain breathing heavy,Internal pain
Sharp pain heavy breathing and,Internal pain
Pain sharp heavy and breathing,Internal pain
Pain sharp heavy and breathing,Internal pain
There is a sharp pain in calve my.,Muscle pain
Is there a pain sharp in calve my.,Muscle pain
Is there a sharp pain my calve in.,Muscle pain
Is a there pain sharp in my calve.,Muscle pain
I feel dizzy when i sudden make movements,Feeling dizzy
Dizzy I feel when i sudden make movements,Feeling dizzy
Feel I when dizzy i sudden make movements,Feeling dizzy
Feel dizzy I i when make sudden movements,Feeling dizzy
"i injured was during, football match i was diagnosed Cruciate with ligament",Injury from sports
"i during was football injured match, i was diagnosed Cruciate with ligament",Injury from sports
"i was during injured match football, i was with diagnosed ligament Cruciate",Injury from sports
"Was injured I during football match, i was with diagnosed ligament Cruciate",Injury from sports
Have I sharp a in pain my ear,Ear ache
I a sharp have in pain my ear,Ear ache
Sharp I have a pain in my ear,Ear ache
Have I a sharp in my pain ear,Ear ache
I alot used pain of killer to get but better still i feel same the pain back,Back pain
I used alot of pain killer to better get but i feel still the pain same back,Back pain
Used I alot of pain get to killer better i but still feel the same pain back,Back pain
I used alot of pain killer to better get but still i the same feel back pain,Back pain
I feel cold and even chills my clothes though heavy are,Feeling cold
I feel and cold even chills though clothes my heavy are,Feeling cold
I feel cold chills and even though clothes my are heavy,Feeling cold
I feel and cold chills even though my clothes heavy are,Feeling cold
"I stand when, up I feel I like ' m to going fall down instantly",Feeling dizzy
"I when stand up, feel I I like ' m to going fall instantly down",Feeling dizzy
"When I stand, up feel like I I ' going m to down fall instantly",Feeling dizzy
"I when stand up, I like feel I ' m to going instantly fall down",Feeling dizzy
My ache head I woke since up this morning.,Head ache
My head since ache I woke up this morning.,Head ache
Head my ache since woke I this up morning.,Head ache
My head ache I since woke morning up this.,Head ache
I a sharp feel pain my in head I when think hard too.,Head ache
I feel sharp a pain in my head I when think hard too.,Head ache
A I feel sharp in pain my head when think I hard too.,Head ache
I a feel sharp pain in my head when I think too hard.,Head ache
I have cut a on my foot infected that from became the using at showers the gym.,Infected wound
I have a on my cut foot that from became infected the showers using at the gym.,Infected wound
I have a cut on foot my that infected became using from the showers at gym the.,Infected wound
I have a cut on my foot that infected became from the using at showers gym the.,Infected wound
Had I a in pain knee my when was I swimming,Knee pain
Had I a pain in knee my when swimming I was,Knee pain
Had I pain a my in when knee I was swimming,Knee pain
Had I pain a my in knee when I swimming was,Knee pain
I wake up with stiff a neck morning every. Massage helps but then couple a of days later it ' s back. again,Neck pain
I wake up with neck a stiff every morning Massage. but helps then couple a days of later it ' s. back again,Neck pain
Wake up I a with stiff neck every. morning Massage helps but then a couple days of it later ' back again s.,Neck pain
I up wake with a stiff neck every morning. but Massage helps then a of couple days it later ' again back s.,Neck pain
m I injured ' i can ' t play sports,Injury from sports
i ' m injured i can ' t sports play,Injury from sports
' I m i injured can ' t sports play,Injury from sports
i ' m i injured can play ' t sports,Injury from sports
My lungs feel heavy like they filled are with mucus,Cough
Feel my lungs heavy they like are filled with mucus,Cough
My lungs heavy feel they like are filled mucus with,Cough
My heavy lungs feel like are they filled with mucus,Cough
Can I ' t coughing stop,Cough
I ' t can stop coughing,Cough
I can ' t stop coughing,Cough
Can I ' t coughing stop,Cough
The feels knee like it and I rusted suddenly cannot bend it anymore.,Knee pain
The knee like feels it rusted and I cannot suddenly it bend anymore.,Knee pain
Knee the it feels like rusted and suddenly cannot I bend it anymore.,Knee pain
Knee the like it feels rusted and suddenly cannot I bend it anymore.,Knee pain
He was discovered an to have open. wound,Open wound
Was he discovered to an open have wound.,Open wound
He was discovered to an have open wound.,Open wound
He to was discovered have an wound open.,Open wound
Shoulder my me hurts so much,Shoulder pain
Shoulder my hurts me much so,Shoulder pain
My shoulder hurts me so much,Shoulder pain
My shoulder me hurts much so,Shoulder pain
Feel I pain inside do I not know what it is,Internal pain
I feel I do pain inside not know what it is,Internal pain
Feel I pain inside I do not what know it is,Internal pain
I pain inside feel do I not what know it is,Internal pain
Every time I look to left feel I a sharp pain in my neck.,Neck pain
Every time I look feel to left I sharp a pain my in neck.,Neck pain
Every I look time left to I feel a sharp pain in my neck.,Neck pain
Time every look I to left feel I a sharp pain my neck in.,Neck pain
when i raise i my feel hand pain my in shoulder.,Shoulder pain
when i my raise hand i pain feel in shoulder. my,Shoulder pain
when i raise my hand i pain feel in shoulder my.,Shoulder pain
I when raise my hand i feel in pain my shoulder.,Shoulder pain
Can I ' really t jump left my on foot because my triple fracture the of ankle left me with pains neverending.,Foot ache
I can t ' really jump on left my foot because my fracture triple the of ankle me left pains with neverending.,Foot ache
I ' t can jump really on my left foot because my triple of ankle fracture the left with me neverending pains.,Foot ache
I can ' really t jump on my left foot triple because my fracture of the left ankle me with neverending. pains,Foot ache
Felt I heart my hurts when I for ran distance along,Heart hurts
I felt my hurts heart when I ran for distance along,Heart hurts
I my felt heart hurts when I distance ran for along,Heart hurts
Felt I my heart hurts when I for ran along distance,Heart hurts
"Head my hurts I and lose the in sensation my face, lose then in sight eye my",Head ache
"My head hurts and I the lose sensation my face in, then sight lose in my eye",Head ache
"Head my hurts and I lose the sensation in face my lose, then in my sight eye",Head ache
"My head hurts and I the lose sensation in face my, sight then my lose in eye",Head ache
Get I i pain joint when i to bend try my leg my or arm,Joint pain
I joint get i when pain i try to bend my leg or my arm,Joint pain
Get I joint i pain when try i to bend my leg my arm or,Joint pain
Get I i joint when pain to i try bend my leg or arm my,Joint pain
I feel in great pain my feet after playing one of the games sports,Injury from sports
I feel pain great feet in my after one playing of sports the games,Injury from sports
I great feel in pain my after feet playing one the of games sports,Injury from sports
Feel I great pain in feet my after playing one sports of games the,Injury from sports
I vision have blurred.,Blurry vision
Have blurred I vision.,Blurry vision
I vision have blurred.,Blurry vision
Have I blurred. vision,Blurry vision
Why my is aching shoulder when I to try up pick the? laundry,Shoulder pain
Why is my shoulder I aching when try to pick the up laundry?,Shoulder pain
Why is my when shoulder aching I try to pick up laundry the?,Shoulder pain
Why is my aching when shoulder I try pick to laundry up the?,Shoulder pain
My arm hurts I stretch when,Muscle pain
Hurts my arm when I stretch,Muscle pain
My arm hurts when I stretch,Muscle pain
My hurts arm when stretch I,Muscle pain
Infected his was wound to beginning rot.,Infected wound
Infected his wound beginning was rot to.,Infected wound
His was infected wound beginning to. rot,Infected wound
His infected wound beginning was to rot.,Infected wound
I big get patches of irritated pimples on my they back and hurt.,Acne
I get big patches of irritated pimples my on and back hurt they.,Acne
I big patches get of irritated on pimples my back they hurt and.,Acne
I big get irritated patches of on pimples my and back they hurt.,Acne
longitudinal line burning back across hard with respiratory movements,Back pain
line longitudinal burning across with back hard respiratory movements,Back pain
burning longitudinal line back across with hard movements respiratory,Back pain
burning longitudinal line across back with hard respiratory movements,Back pain
My chest hurts I when go to take a breath,Hard to breath
Hurts my chest when I to go take a breath,Hard to breath
My chest when hurts go I to a take breath,Hard to breath
My chest hurts when I go to take breath a,Hard to breath
Feel I sad,Emotional pain
Feel I sad,Emotional pain
feel I sad,Emotional pain
i sad feel,Emotional pain
Just I can t ' seem to get. warm Even when everyone around me is warm always I cold feel.,Feeling cold
I ' just t can seem to warm get. Even when everyone me around warm is always I feel cold.,Feeling cold
I just can ' t seem get to warm. Even when around everyone is warm me always I feel cold.,Feeling cold
Just I can ' t seem warm to get. Even when everyone around is me warm I feel always cold.,Feeling cold
I m ' not good feeling I infection get wound,Infected wound
' I m feeling not good I get wound infection,Infected wound
I ' not m feeling good I get infection wound,Infected wound
I m ' not feeling good I get infection wound,Infected wound
difficulty having my moving knee,Knee pain
having moving difficulty knee my,Knee pain
difficulty having moving knee my,Knee pain
Difficulty having moving knee my,Knee pain
Hair my always out falls and i have lost a lot of lately hair,Hair falling out
Hair my always out falls i and have a lost lot hair of lately,Hair falling out
My hair always falls out and i have lost lot a of hair lately,Hair falling out
Hair my always falls i out and have a lost lot of lately hair,Hair falling out
I wish excruciating this feeling of loss go could away.,Emotional pain
I this wish excruciating feeling of loss could away go.,Emotional pain
I wish this excruciating feeling of could loss go. away,Emotional pain
I this wish feeling excruciating loss of go could away.,Emotional pain
I like feel the world goes and round round,Feeling dizzy
Feel I the like goes world round and round,Feeling dizzy
I feel like the world round goes and round,Feeling dizzy
I feel the like goes world round round and,Feeling dizzy
I feel like I can breathe hardly unless I what get ' s in out my lungs,Cough
Feel I I like can hardly breathe unless I get what ' s in my lungs out,Cough
Feel like I I hardly can unless breathe get I what ' s in my out lungs,Cough
I I feel like hardly breathe can unless I get what ' in s lungs my out,Cough
"Body my weak feels although I a eat, lot why?",Body feels weak
"Body feels my weak although eat I lot a, why?",Body feels weak
"My feels body although weak eat a I lot, why?",Body feels weak
"My body feels weak I although lot eat a why,?",Body feels weak
Are there some on pimples my face bother that a me lot,Acne
Are some pimples there on my face that me bother a lot,Acne
There some are on pimples my face that me bother lot a,Acne
Are some there on pimples my face bother that me a lot,Acne
"I couldn t ' stop shaking or unclench jaw my, that ' how s I cold was.",Feeling cold
"I ' couldn stop t shaking or my unclench jaw, that s ' cold how was I.",Feeling cold
"I ' couldn stop shaking t or unclench my jaw, that ' how s I cold. was",Feeling cold
"I ' couldn t shaking stop unclench or my, jaw that ' s how was cold I.",Feeling cold
I don ' t have the energy to do the things that I to used,Body feels weak
I ' don t have energy the to do the things that used I to,Body feels weak
I don ' t the have to do energy things the I that used to,Body feels weak
I don ' have t the energy to do that the I things to used,Body feels weak
Body my feels and i think weak that my face is fade and can i ' t well sleep,Body feels weak
My body weak feels think and i that my is face fade and i ' can sleep t well,Body feels weak
My feels body and weak i think that face my is fade i and can ' t sleep well,Body feels weak
Body my weak feels and i think that my face is fade and i can ' t sleep well,Body feels weak
My ankle throbs joint I when put on pressure foot my.,Joint pain
Ankle my joint throbs when I put pressure on foot my.,Joint pain
My joint ankle throbs when I pressure on put foot my.,Joint pain
My ankle joint when throbs put I on pressure my. foot,Joint pain
Feel I like I ' always ve something got in throat my,Cough
I feel I like ' ve always something in got throat my,Cough
I I feel like ' got ve always something in my throat,Cough
I like feel I ve ' always got something in my throat,Cough
I always feel I like have menstrual even pains I if ' don have t period my.,Internal pain
Always I feel like I have menstrual pains even if I don t ' have my period.,Internal pain
Always I like feel have I pains menstrual even if I don t ' my have period.,Internal pain
I always feel I like have pains even menstrual I don if ' have t my period.,Internal pain
I feel depressed when I see hair falling out my,Hair falling out
Feel I depressed when I see hair my out falling,Hair falling out
Feel depressed I when I see my falling hair out,Hair falling out
Feel I depressed when see I my hair out falling,Hair falling out
Have I throbing my in shoulder,Shoulder pain
I throbing in have my shoulder,Shoulder pain
Have throbing I in my shoulder,Shoulder pain
I have in my throbing shoulder,Shoulder pain
Feel I like room the spinning is,Feeling dizzy
I feel the like spinning room is,Feeling dizzy
Feel I the like room spinning is,Feeling dizzy
I feel like is the spinning room,Feeling dizzy
"There is an pressure extreme below my belly button the at right, which I feel time every I out for go jog a.",Internal pain
"There an is pressure extreme below my button belly at the right which, I every feel I go time for out a jog.",Internal pain
"Is there extreme an pressure below belly button my the at right, which feel I every time go I out for jog a.",Internal pain
"There is pressure an extreme my below button belly at the right, which I feel every I time go out a for jog.",Internal pain
"I am always, cold when even I am wearing layers",Feeling cold
"I am always, cold even I when wearing layers am",Feeling cold
"Am I cold always, when even am I wearing layers",Feeling cold
"I am always cold even, when I layers wearing am",Feeling cold
My when grand died father I felt hard a pain emotional,Emotional pain
When grand my died father felt I a emotional hard pain,Emotional pain
When my grand died father I felt a hard pain emotional,Emotional pain
My when father grand I felt died a hard emotional pain,Emotional pain
I feel in pain with my head a vertigo,Head ache
Feel I pain my in head a with vertigo,Head ache
I feel pain in with my head vertigo a,Head ache
I pain feel in my with head vertigo a,Head ache
I have vision after blurry used I wrong a medicine.,Blurry vision
I blurry have vision after used I a wrong medicine.,Blurry vision
I have blurry vision I after a wrong used. medicine,Blurry vision
Have blurry vision I I after used a wrong medicine.,Blurry vision
My calves feel like they tight are as and throbbing knots are,Muscle pain
My calves feel like they are as tight are knots throbbing and,Muscle pain
Calves my feel they like tight are as and knots are throbbing,Muscle pain
My feel calves they like are tight as knots are throbbing and,Muscle pain
I have a lot of pain knee whenever I running go.,Knee pain
Have I lot a knee of pain I whenever go running.,Knee pain
I have a lot of knee pain whenever I go running.,Knee pain
Have I a lot of pain whenever knee I running go.,Knee pain
have I muscle pain my at left. leg,Muscle pain
i have muscle pain at my leg left.,Muscle pain
i have muscle my at pain left leg.,Muscle pain
i pain have muscle at left my leg.,Muscle pain
Have I a I neck when pain sit in - front of my laptop.,Neck pain
Have a I neck when pain I sit in - of front my. laptop,Neck pain
I have a neck pain when sit I in - front my of. laptop,Neck pain
I a have pain neck when sit I - in front my of laptop.,Neck pain
i have pain a in joint my elbow,Joint pain
Have I a in pain my joint elbow,Joint pain
have I pain a in my joint elbow,Joint pain
i have in a my pain elbow joint,Joint pain
A I have in pain my head,Head ache
Have I pain a in head my,Head ache
I have pain in a head my,Head ache
I have pain a in my head,Head ache
My has stomach sore since been yesterday.,Stomach ache
Stomach my has been since yesterday sore.,Stomach ache
Stomach my been has since sore yesterday.,Stomach ache
Stomach my been has sore yesterday since.,Stomach ache
Acne is my really embarassing. It ' s so read.,Acne
Is my acne embarassing really It. ' s so read.,Acne
My is acne embarassing really It. s ' so read.,Acne
Acne is really my embarassing It. ' s so read.,Acne
Dark something is there on my arm,Skin issue
Something is dark on there arm my,Skin issue
Dark is something there my on arm,Skin issue
Something dark is there on arm my,Skin issue
When i ' m driving my eyes see double in,Blurry vision
I when ' m driving my eyes see in double,Blurry vision
When i ' m driving my eyes see double in,Blurry vision
I when ' driving m my see eyes in double,Blurry vision
My upper back been has sore a week for.,Back pain
My upper back been has for a sore week.,Back pain
My upper back has been sore for a. week,Back pain
My upper back has been sore for week a.,Back pain
I have severe shoulder pain,Shoulder pain
I have severe shoulder pain,Shoulder pain
Have I shoulder severe pain,Shoulder pain
I severe shoulder have pain,Shoulder pain
"Am I worried how intolerant cold I am I am, shivering, always even out in the sun.",Feeling cold
"I am worried how cold intolerant I, am am always I shivering, in even out sun the.",Feeling cold
"I worried am how intolerant cold, I am I am always shivering, out even in sun the.",Feeling cold
"Am I worried cold how intolerant I, am I am always shivering, out even in the sun.",Feeling cold
I ' m a having time hearing hard.,Ear ache
' I m having hard a time. hearing,Ear ache
' I m having hard a hearing time.,Ear ache
' m I a having hard time hearing.,Ear ache
"I overdone may have it with weightlifting the, because I am afraid I may torn have muscle on a back my.",Injury from sports
"I overdone may have the it with weightlifting, because am I afraid I may have torn a muscle on my back.",Injury from sports
"May I have overdone with it weightlifting the, because I afraid am may I have a torn muscle my on back.",Injury from sports
"May I have overdone it the with weightlifting, because I am afraid may I torn have a on my back muscle.",Injury from sports
Had I internal pain and gases I when ate indian yesterday spicy food,Internal pain
Had I internal pain and gases I when indian ate spicy yesterday food,Internal pain
I internal had pain and I gases when ate indian spicy yesterday food,Internal pain
Had I internal pain gases and when I spicy ate indian food yesterday,Internal pain
Highschool in I a had lot acne of.,Acne
In highschool had I a lot of acne.,Acne
Highschool in had I a lot acne of.,Acne
In highschool had I a of lot. acne,Acne
When I ' m too I start to high dizzy feel,Feeling dizzy
When I ' m high I to too start feel dizzy,Feeling dizzy
I when ' m too high I start to dizzy feel,Feeling dizzy
I when ' m high too start I to dizzy feel,Feeling dizzy
"When I a lot drink, I a get headache",Head ache
"I when drink lot a I, get a headache",Head ache
"I when drink a lot, get I headache a",Head ache
"I when drink a lot, get a I headache",Head ache
"The last time clipped I my toenails, I cut them too and short now I have an infected. nail",Infected wound
"Last the time my I clipped toenails, I cut them too short I and now an infected have nail.",Infected wound
"Last the time clipped I toenails my, I cut them too short and now I have an infected nail.",Infected wound
"Last the time I clipped my, toenails I them cut too short and I have now an infected nail.",Infected wound
"playing after football, i muscle have pain both with my legs.",Muscle pain
"Playing football after, have i pain muscle with my both legs.",Muscle pain
"after football playing, have i pain muscle with both my legs.",Muscle pain
"after playing football, have i pain muscle with both legs my.",Muscle pain
I when i eat my feel stomach hurts,Stomach ache
I eat when i feel my hurts stomach,Stomach ache
When i i eat my feel hurts stomach,Stomach ache
I eat when i feel my hurts stomach,Stomach ache
All my is in body a bad i case and a need good treatment,Joint pain
All body my is in case a bad and i need treatment a good,Joint pain
All my is body in bad a case i and good need a treatment,Joint pain
All my body in is bad case a and i good need a treatment,Joint pain
I visited many doctors they but can ' t right find the treatment toget back hair my,Hair falling out
Many I visited but doctors they can ' t find the treatment right my toget back hair,Hair falling out
I visited many doctors but can they ' t treatment find the toget right my back hair,Hair falling out
I many visited but doctors they can ' t right find treatment the my toget hair back,Hair falling out
I have a cut has that red become and oozes puss.,Infected wound
I a have cut that become red has oozes and puss.,Infected wound
I have a that cut has red and become puss oozes.,Infected wound
Have a I cut that become has red oozes and puss.,Infected wound
My grandmother last went year to hospital she because having was hard a breathing time,Hard to breath
My grandmother year last went to because hospital was she a having time hard breathing,Hard to breath
My grandmother last year to went hospital she because was a having time breathing hard,Hard to breath
Grandmother my last went year hospital to because she a was having hard time breathing,Hard to breath
i with have issue my skin,Skin issue
have I issue with skin my,Skin issue
i issue have my with skin,Skin issue
i issue have my with skin,Skin issue
I sometimes because cough I ' m smoker a,Cough
Sometimes I cough I ' because a m smoker,Cough
Sometimes I because cough ' m I a smoker,Cough
I sometimes cough I because ' a m smoker,Cough
' I not m good feel i dizzy,Feeling dizzy
' I not m good i dizzy feel,Feeling dizzy
' I not m good feel i dizzy,Feeling dizzy
I m not ' good i dizzy feel,Feeling dizzy
Sliced myself I deeply with a knife while I was cooking,Open wound
I sliced deeply myself with a while knife I was cooking,Open wound
Sliced I myself deeply with a knife while was I cooking,Open wound
I sliced myself deeply with while a knife I was cooking,Open wound
Hair my is falling when combing I am it.,Hair falling out
My hair is when falling I combing am. it,Hair falling out
My hair is falling when I am combing. it,Hair falling out
Hair my is falling when I am combing it.,Hair falling out
or discomfort pain that felt is at some along point the the front of between body the and neck upper abdomen.,Internal pain
discomfort or pain that felt is at point some along front the of body the the between upper neck and abdomen.,Internal pain
or discomfort that pain is at felt point some the along front of the between body the neck and abdomen upper.,Internal pain
or pain that discomfort is felt some point at the front along of the body between the neck and upper abdomen.,Internal pain
I have tried make massage to my on foot but they pain me still,Foot ache
I have tried to make on massage my foot but still they me pain,Foot ache
Have I to tried make massage on they my foot but still pain me,Foot ache
I tried have make to on massage my foot they but pain still me,Foot ache
Foot my hurts me a playing lot of football,Foot ache
Foot my me hurts a of lot playing football,Foot ache
Foot my hurts me lot a of football playing,Foot ache
My hurts foot me a playing lot of football,Foot ache
Get I chills all and aches over.,Feeling cold
Get chills I and all aches over.,Feeling cold
I chills get all and aches over.,Feeling cold
Get I chills and aches all over.,Feeling cold
Hair mr is out falling just combing by it.,Hair falling out
Mr hair is out just falling combing by it.,Hair falling out
Hair mr is falling out just by combing it.,Hair falling out
Hair is mr falling out just by it combing.,Hair falling out
Have some I problems terrible when ' i m breathing during night the.,Cough
I some have terrible problems when i m ' breathing night the during.,Cough
Have I some terrible problems when i ' breathing m the during night.,Cough
I have terrible some when problems ' i m breathing during night. the,Cough
My stomach feels full and upset bloating and after meals big.,Stomach ache
My feels stomach full and and bloating upset after meals big.,Stomach ache
Stomach my full feels and upset and bloating after big meals.,Stomach ache
Stomach my full and feels upset and bloating after big. meals,Stomach ache
"Mind my feels very, sad as if it hurts. The way I in feel my is head and awful I think when break about my - up, cry I with sadness.",Emotional pain
